Provinsi,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Maluku,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,640.55
Sumatera Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,1424.07
Sumatera Utara,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,18000.25
Bali,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,570.73
Jambi,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,3002.34
Aceh,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Chipwood,305.27
Sumatera Utara,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,0.0
Sulawesi Selatan,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,6406.96
Riau,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,4341.37
Papua,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,14377.78
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,0.0
Sumatera Utara,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,3855.49
Sulawesi Tengah,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Chipwood,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Bare Core,Chipwood,388.3
Riau,Kayu Tanaman,Kelompok Meranti,Chipwood,Chipwood,1571164.56
Jambi,Kayu Tanaman,Kelompok Meranti,Chipwood,Chipwood,254673.15
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,2406.5
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,325.53
Sulawesi Selatan,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,221.11
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,7040.68
Papua Barat,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,7121.71
Kalimantan Selatan,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,6470.98
Jawa Timur,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,86738.41
Riau,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,5819.83
Papua Barat,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,12069.39
Sumatera Utara,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,19143.08
Bali,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,0.0
Jawa Timur,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,98232.25
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,5374.28
Kalimantan Barat,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,19002.85
Kalimantan Selatan,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,45300.18
Bali,Kayu Tanaman,Kelompok Meranti,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Chipwood,4.61
Bali,Kayu Tanaman,Kelompok Meranti,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Chipwood,83.62
Riau,Kayu Tanaman,Kelompok Meranti,Wood Pellet,Chipwood,890.19
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,5.3
Kalimantan Barat,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,211.65
Jawa Timur,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,4743.54
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,11669.73
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Blockboard,Chipwood,3567.3
Lampung,Kayu Tanaman,Rimba Campuran,Chipwood,Chipwood,10650.08
Papua Barat,Kayu Tanaman,Rimba Campuran,Chipwood,Chipwood,4706.37
Sumatera Utara,Kayu Tanaman,Rimba Campuran,Chipwood,Chipwood,112855.89
Jawa Barat,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,1640.82
Jawa Timur,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,78777.94
Lampung,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,5319.23
Bali,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,555.36
Gorontalo,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,1657.13
Sumatera Selatan,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,1171.28
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,318.13
Riau,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,7225.97
Sulawesi Selatan,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,1528.06
Maluku,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Chipwood,341.89
Jambi,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,0.0
Papua,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,12071.05
Bali,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,503.32
Nusa Tenggara Barat,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,75.59
Lampung,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,2350.17
Jawa Timur,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,85615.57
Sulawesi Selatan,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,6262.25
Jambi,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,11772.0
Sumatera Selatan,Kayu Tanaman,Rimba Campuran,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Chipwood,199.96
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Furnitur Kayu,8569.35
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Furnitur Kayu,6914.66
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Furnitur Kayu,123.66
Jambi,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Furnitur Kayu,0.0
Riau,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Furnitur Kayu,1424.62
Riau,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,1775055.42
Riau,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,1935505.26
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,47106.93
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,6863.86
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,7000.17
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,61143.41
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,189.69
DKI Jakarta,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Kepulauan Riau,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,1341.35
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,13917.11
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,19080.28
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,85252.68
Sumatera Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,229.58
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,9179.81
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,355.03
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,1728.86
Maluku Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Riau,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,8782.95
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,24856.34
Gorontalo,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,196.67
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,58643.14
Kalimantan Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Kalimantan Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,21327.92
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,70869.93
Kalimantan Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,15247.88
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,3410.5
Bali,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,160.25
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,12308.95
Jambi,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,4664.77
Nusa Tenggara Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,179.13
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,12655.84
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,3671.72
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,3746.69
Gorontalo,Kayu Tanaman,Hutan Tanaman Industri,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,0.0
Gorontalo,Kayu Tanaman,Hutan Tanaman Industri,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Particle Board,Furnitur Kayu,7883.05
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Particle Board,Furnitur Kayu,0.0
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,32.83
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,46566.37
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,421.23
Papua,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,7090.61
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,63879.89
Daerah Istimewa Yogyakarta,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,197.41
Riau,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1138.24
Bali,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,150.11
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,4125.0
Maluku,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1008.99
Jambi,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,4516.41
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,41896.7
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,6596.26
Maluku,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,630.49
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,35259.62
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,7387.58
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1772.49
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3897.12
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1991.17
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,2940.06
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Bali,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,50590.44
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,44043.13
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,5381.77
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,31360.18
Banten,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,206.57
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,465.9
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1833.21
Banten,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,265.21
Bali,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,232.55
Kalimantan Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,357.66
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,2259.22
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1422.47
Jawa Barat,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Furnitur Kayu,914.49
Kalimantan Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Furnitur Kayu,39829.84
Kalimantan Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Furnitur Kayu,57566.03
Maluku,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,509.48
Papua Barat,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,11814.17
Sulawesi Tenggara,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,1360.09
Jawa Timur,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Furnitur Kayu,95884.63
Kalimantan Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,2711.76
Jawa Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,4104.44
Sumatera Utara,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,2073.63
Jawa Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,6940.58
Papua Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,936.98
Banten,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,0.0
Sumatera Utara,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,2529.27
Riau,Kayu Tanaman,Kayu Eboni,Chipwood,Furnitur Kayu,1820114.49
Kalimantan Tengah,Kayu Tanaman,Kayu Eboni,Chipwood,Furnitur Kayu,50559.64
Kalimantan Tengah,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,4602.44
Jawa Barat,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,5843.34
Jambi,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,4211.31
Riau,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,6839.0
Kalimantan Timur,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,7987.24
Papua,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,16016.09
Kalimantan Tengah,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,6785.31
Lampung,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,1323.29
Maluku,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Banten,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,17502.64
Bali,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,363.88
Jawa Timur,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,47068.13
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,120.52
Lampung,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,2680.34
Papua Barat,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,1961.08
Riau,Kayu Tanaman,Kayu Indah,Chipwood,Furnitur Kayu,1942438.4
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Chipwood,Furnitur Kayu,85842.15
Jawa Tengah,Kayu Tanaman,Kayu Indah,Chipwood,Furnitur Kayu,0.0
Aceh,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,45.95
Riau,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,7880.59
Maluku,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,559.1
Banten,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,855.49
DKI Jakarta,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,97.81
Kalimantan Selatan,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,9164.24
Jawa Tengah,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,30655.78
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,8907.81
Riau,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,6608.29
Papua,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,12186.51
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,14526.0
Riau,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,2497.8
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Jambi,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,5271.57
Jawa Timur,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,54090.34
Sumatera Utara,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,2178.37
Maluku,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Sulawesi Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Jawa Barat,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,3394.62
Kalimantan Barat,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,448.37
Sumatera Utara,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,2231.45
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,43131.1
Sulawesi Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,2644.28
Jawa Timur,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,47334.8
Jawa Tengah,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,29874.55
Jawa Barat,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,3111.31
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Bare Core,Furnitur Kayu,0.0
Riau,Kayu Tanaman,Kelompok Meranti,Blockboard,Furnitur Kayu,0.0
Kalimantan Timur,Kayu Tanaman,Kelompok Meranti,Blockboard,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,87110.68
Riau,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,8185.46
Aceh,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,309.03
Jambi,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,3931.05
Jambi,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,2208.63
Maluku,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,307.39
Lampung,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Bali,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,307.74
Jawa Timur,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,95177.68
Kalimantan Timur,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,42298.68
Jambi,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,2234.62
Papua Barat,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,705.68
Aceh,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,539.72
Bali,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,263.34
Banten,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,199.59
Sulawesi Selatan,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,4522.16
Kalimantan Utara,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,214.37
Aceh,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,500.26
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,2634.16
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,2968.88
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Bare Core,Furnitur Kayu,561.96
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Bare Core,Furnitur Kayu,0.0
Riau,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,1386486.07
Riau,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,1537089.77
Sumatera Selatan,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,554000.0
Papua Barat,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,6002.9
Gorontalo,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,76.99
Sulawesi Tengah,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,1921.38
Sumatera Utara,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,21299.28
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,6150.2
Sumatera Utara,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,18036.89
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,593.59
Sulawesi Selatan,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,2294.35
Sumatera Utara,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,3718.48
Bali,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,273.87
Banten,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,9387.2
Kalimantan Tengah,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Sulawesi Tengah,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Papua,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,16377.24
Jambi,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,11911.29
Jawa Timur,Kayu Tanaman,Rimba Campuran,Particle Board,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,184.69
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Banten,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Sulawesi Selatan,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,3502.7
Jawa Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,5457.08
Sumatera Selatan,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,5349.29
Lampung,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2624.99
Kalimantan Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,1778.94
Nusa Tenggara Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,34843.56
Jawa Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,6904.13
Papua Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2457.92
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2146.79
Sumatera Utara,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2461.46
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,34785.08
Jawa Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,5217.8
Papua Barat,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,997.93
