Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Jambi,HKM HD HTR,Kayu Alam,Furnitur Kayu,Bare Core,Furnitur Kayu,0.0
Jawa Barat,UPHHK HTR,Kayu Tanaman,Pulp,Bare Core,Pulp,377.31
Jawa Tengah,HKM HD Kemitraan,Kayu Alam,Woodworking,Bare Core,Woodworking,7357.08
Jawa Timur,IUPHHK RE,Kayu Tanaman,Panel,Bare Core,Panel,5406.43
Kalimantan Selatan,HKM HD HTR,Kayu Tanaman,Paper,Bare Core,Paper,287.59
Bali,Hutan Produksi,Setengah Jadi,Kerajinan,Bare Core,Kerajinan,65.88
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Tanaman,Veneer,Bare Core,Veneer,107.39
Jambi,IUPHHK HA,Limbah,Veneer,Bare Core,Veneer,0.0
Jawa Barat,IUPHHK HA,Kayu Tanaman,Paper,Bare Core,Paper,0.0
Jawa Tengah,Hutan Produksi,Kayu Tanaman,Pulp,Bare Core,Pulp,7624.05
Jawa Timur,IUPHHK HTI,Setengah Jadi,Panel,Bare Core,Panel,5337.87
Kalimantan Selatan,UPHHK HTR,Kayu Tanaman,Kerajinan,Bare Core,Kerajinan,165.72
Bali,HKM HD HTR,Kayu Perkebunan,Pulp,Bare Core,Pulp,71.79
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Alam,Pulp,Bare Core,Pulp,242.91
Jambi,Hutan Produksi,Kayu Tanaman,Panel,Bare Core,Panel,0.0
Jawa Barat,UPHHK HTR,Kayu Alam,Pulp,Bare Core,Pulp,145.46
Jawa Tengah,HKM HD HTR,Limbah,Chipwood,Bare Core,Chipwood,5860.18
Jawa Timur,IUPHHK HTI,Limbah,Veneer,Bare Core,Veneer,5801.07
Kalimantan Selatan,IUPHHK HA,Kayu Perkebunan,Woodworking,Bare Core,Woodworking,272.72
Bali,UPHHK HTR,Setengah Jadi,Panel,Bare Core,Panel,62.5
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Kayu Tanaman,Veneer,Bare Core,Veneer,0.0
Jambi,HKM HD Kemitraan,Setengah Jadi,Kerajinan,Bare Core,Kerajinan,0.0
Jawa Barat,IUPHHK HA,Kayu Alam,Bangunan Prefabrikasi,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Tengah,HKM HD HTR,Limbah,Kerajinan,Bare Core,Kerajinan,36929.32
Jawa Timur,IUPHHK HA,Limbah,Paper,Bare Core,Paper,7797.02
Kalimantan Selatan,UPHHK HTR,Setengah Jadi,Chipwood,Bare Core,Chipwood,170.36
Bali,Hutan Lindung,Kayu Tanaman,Chipwood,Bare Core,Chipwood,48.98
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Tanaman,Paper,Bare Core,Paper,260.64
Jambi,IUPHHK RE,Setengah Jadi,Kerajinan,Bare Core,Kerajinan,0.0
Jawa Barat,IUPHHK HTI,Kayu Alam,Veneer,Bare Core,Veneer,0.0
Jawa Tengah,IUPHHK RE,Limbah,Pulp,Bare Core,Pulp,9992.02
Jawa Timur,HKM HD HTR,Limbah,Panel,Bare Core,Panel,6769.96
Kalimantan Selatan,IUPHHK HA,Kayu Tanaman,Panel,Bare Core,Panel,180.08
Bali,HKM HD Kemitraan,Kayu Perkebunan,Furnitur Kayu,Bare Core,Furnitur Kayu,42.23
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Tanaman,Chipwood,Bare Core,Chipwood,388.3
Jambi,Hutan Produksi,Kayu Alam,Paper,Bare Core,Paper,0.0
Jawa Barat,UPHHK HTR,Kayu Tanaman,Paper,Bare Core,Paper,0.0
Jawa Tengah,UPHHK HTR,Limbah,Pulp,Bare Core,Pulp,8418.58
Jawa Timur,IUPHHK HTI,Kayu Tanaman,Pulp,Bare Core,Pulp,7858.36
Kalimantan Selatan,Hutan Produksi,Limbah,Veneer,Bare Core,Veneer,128.04
Jambi,IUPHHK RE,Kayu Perkebunan,Pulp,Biomassa Kayu,Pulp,26.47
Papua,UPHHK HTR,Kayu Perkebunan,Paper,Biomassa Kayu,Paper,132.1
Sumatera Selatan,IUPHHK HA,Kayu Tanaman,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,24.61
Jambi,IUPHHK HA,Kayu Alam,Pulp,Biomassa Kayu,Pulp,39.53
Papua,IUPHHK HTI,Kayu Alam,Veneer,Biomassa Kayu,Veneer,133.38
Sumatera Selatan,HKM HD HTR,Kayu Tanaman,Chipwood,Biomassa Kayu,Chipwood,20.38
Jambi,UPHHK HTR,Kayu Tanaman,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,69.51
Papua,IUPHHK HTI,Kayu Alam,Veneer,Biomassa Kayu,Veneer,200.23
Sumatera Selatan,HKM HD Kemitraan,Kayu Alam,Pulp,Biomassa Kayu,Pulp,28.25
Jambi,Hutan Produksi,Kayu Alam,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,74.73
Papua,UPHHK HTR,Limbah,Furnitur Kayu,Biomassa Kayu,Furnitur Kayu,155.51
Sumatera Selatan,IUPHHK RE,Kayu Tanaman,Pulp,Biomassa Kayu,Pulp,27.7
Jambi,IUPHHK RE,Kayu Tanaman,Woodworking,Biomassa Kayu,Woodworking,56.02
Papua,Hutan Lindung,Limbah,Panel,Biomassa Kayu,Panel,207.63
Sumatera Selatan,Hutan Produksi,Limbah,Chipwood,Biomassa Kayu,Chipwood,13.4
Jambi,IUPHHK RE,Limbah,Chipwood,Biomassa Kayu,Chipwood,62.02
Papua,HKM HD HTR,Setengah Jadi,Veneer,Biomassa Kayu,Veneer,259.7
Sumatera Selatan,IUPHHK HTI,Setengah Jadi,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,23.61
Jambi,UPHHK HTR,Limbah,Chipwood,Biomassa Kayu,Chipwood,68.03
Papua,Hutan Lindung,Kayu Tanaman,Panel,Biomassa Kayu,Panel,278.65
Sumatera Selatan,HKM HD HTR,Limbah,Kerajinan,Biomassa Kayu,Kerajinan,9.27
Jambi,HKM HD HTR,Kayu Tanaman,Chipwood,Biomassa Kayu,Chipwood,55.02
Papua,HKM HD HTR,Kayu Perkebunan,Paper,Biomassa Kayu,Paper,251.23
Sumatera Selatan,UPHHK HTR,Limbah,Veneer,Biomassa Kayu,Veneer,25.8
Jambi,Hutan Produksi,Kayu Tanaman,Pulp,Biomassa Kayu,Pulp,53.23
Papua,IUPHHK HA,Kayu Perkebunan,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,193.15
Sumatera Selatan,HKM HD HTR,Kayu Perkebunan,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,26.01
Jambi,Hutan Produksi,Kayu Perkebunan,Woodworking,Biomassa Kayu,Woodworking,48.7
Papua,IUPHHK HTI,Kayu Tanaman,Paper,Biomassa Kayu,Paper,177.56
Sumatera Selatan,IUPHHK HTI,Kayu Alam,Pulp,Biomassa Kayu,Pulp,31.13
Jambi,HKM HD Kemitraan,Kayu Tanaman,Kerajinan,Biomassa Kayu,Kerajinan,44.02
Papua,Hutan Lindung,Setengah Jadi,Paper,Biomassa Kayu,Paper,73.64
Sumatera Selatan,IUPHHK RE,Kayu Tanaman,Pulp,Biomassa Kayu,Pulp,35.09
Jambi,Hutan Produksi,Limbah,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,46.61
Papua,HKM HD Kemitraan,Limbah,Bangunan Prefabrikasi,Biomassa Kayu,Bangunan Prefabrikasi,64.74
Sumatera Selatan,IUPHHK HA,Kayu Tanaman,Paper,Biomassa Kayu,Paper,45.34
Bali,HKM HD HTR,Setengah Jadi,Panel,Blockboard,Panel,85.04
Daerah Istimewa Yogyakarta,HKM HD HTR,Setengah Jadi,Woodworking,Blockboard,Woodworking,0.0
Jambi,IUPHHK HTI,Kayu Tanaman,Furnitur Kayu,Blockboard,Furnitur Kayu,0.0
Jawa Barat,UPHHK HTR,Limbah,Kerajinan,Blockboard,Kerajinan,336.25
Jawa Tengah,IUPHHK HTI,Kayu Alam,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,12680.86
Jawa Timur,Hutan Lindung,Setengah Jadi,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,9009.74
Kalimantan Selatan,IUPHHK RE,Kayu Perkebunan,Furnitur Kayu,Blockboard,Furnitur Kayu,0.0
Kalimantan Timur,UPHHK HTR,Setengah Jadi,Veneer,Blockboard,Veneer,0.0
Riau,HKM HD HTR,Kayu Tanaman,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,0.0
Bali,HKM HD Kemitraan,Setengah Jadi,Woodworking,Blockboard,Woodworking,83.59
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Perkebunan,Paper,Blockboard,Paper,407.45
Jambi,HKM HD HTR,Setengah Jadi,Panel,Blockboard,Panel,0.0
Jawa Barat,HKM HD Kemitraan,Setengah Jadi,Furnitur Kayu,Blockboard,Furnitur Kayu,1511.56
Jawa Tengah,IUPHHK HA,Limbah,Woodworking,Blockboard,Woodworking,11304.82
Jawa Timur,IUPHHK HA,Setengah Jadi,Paper,Blockboard,Paper,10117.54
Kalimantan Selatan,HKM HD HTR,Kayu Perkebunan,Chipwood,Blockboard,Chipwood,0.0
Kalimantan Timur,Hutan Lindung,Kayu Perkebunan,Veneer,Blockboard,Veneer,0.0
Riau,HKM HD HTR,Kayu Alam,Panel,Blockboard,Panel,0.0
Bali,Hutan Produksi,Limbah,Kerajinan,Blockboard,Kerajinan,101.22
Daerah Istimewa Yogyakarta,IUPHHK RE,Setengah Jadi,Furnitur Kayu,Blockboard,Furnitur Kayu,392.98
Jambi,Hutan Lindung,Kayu Perkebunan,Paper,Blockboard,Paper,0.0
Jawa Barat,UPHHK HTR,Setengah Jadi,Paper,Blockboard,Paper,1192.81
Jawa Tengah,Hutan Produksi,Kayu Alam,Veneer,Blockboard,Veneer,14499.53
Jawa Timur,UPHHK HTR,Kayu Alam,Pulp,Blockboard,Pulp,9614.88
Kalimantan Selatan,Hutan Lindung,Kayu Tanaman,Woodworking,Blockboard,Woodworking,0.0
Kalimantan Timur,IUPHHK HA,Kayu Alam,Pulp,Blockboard,Pulp,0.0
Riau,HKM HD Kemitraan,Kayu Alam,Paper,Blockboard,Paper,0.0
Bali,HKM HD HTR,Limbah,Panel,Blockboard,Panel,113.76
Daerah Istimewa Yogyakarta,IUPHHK HA,Setengah Jadi,Paper,Blockboard,Paper,160.91
Jambi,HKM HD HTR,Kayu Perkebunan,Veneer,Blockboard,Veneer,0.0
Jawa Barat,IUPHHK RE,Kayu Perkebunan,Pulp,Blockboard,Pulp,1421.76
Jawa Tengah,HKM HD Kemitraan,Kayu Tanaman,Furnitur Kayu,Blockboard,Furnitur Kayu,13507.99
Jawa Timur,IUPHHK HA,Kayu Tanaman,Veneer,Blockboard,Veneer,9824.87
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,0.0
Kalimantan Timur,IUPHHK RE,Limbah,Furnitur Kayu,Blockboard,Furnitur Kayu,0.0
Riau,IUPHHK HTI,Setengah Jadi,Chipwood,Blockboard,Chipwood,0.0
Bali,Hutan Produksi,Kayu Alam,Chipwood,Blockboard,Chipwood,111.45
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Alam,Pulp,Blockboard,Pulp,0.0
Jambi,UPHHK HTR,Kayu Perkebunan,Furnitur Kayu,Blockboard,Furnitur Kayu,0.0
Jawa Barat,IUPHHK HTI,Kayu Alam,Pulp,Blockboard,Pulp,876.43
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Kerajinan,Blockboard,Kerajinan,9195.09
Jawa Timur,IUPHHK RE,Kayu Tanaman,Woodworking,Blockboard,Woodworking,9187.41
Kalimantan Selatan,UPHHK HTR,Kayu Alam,Paper,Blockboard,Paper,769.01
Kalimantan Timur,Hutan Lindung,Setengah Jadi,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,0.0
Riau,HKM HD Kemitraan,Kayu Tanaman,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,0.0
Bali,HKM HD HTR,Kayu Perkebunan,Paper,Blockboard,Paper,117.88
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Perkebunan,Chipwood,Blockboard,Chipwood,325.94
Jambi,Hutan Produksi,Limbah,Kerajinan,Blockboard,Kerajinan,0.0
Jawa Barat,IUPHHK RE,Limbah,Panel,Blockboard,Panel,963.94
Jawa Tengah,HKM HD HTR,Limbah,Furnitur Kayu,Blockboard,Furnitur Kayu,17701.55
Jawa Timur,IUPHHK HA,Kayu Alam,Chipwood,Blockboard,Chipwood,10487.15
Kalimantan Selatan,IUPHHK HA,Kayu Alam,Paper,Blockboard,Paper,0.0
Kalimantan Timur,HKM HD HTR,Kayu Alam,Paper,Blockboard,Paper,0.0
Riau,Hutan Produksi,Kayu Tanaman,Woodworking,Blockboard,Woodworking,0.0
Bali,IUPHHK HA,Limbah,Chipwood,Blockboard,Chipwood,102.88
Daerah Istimewa Yogyakarta,IUPHHK RE,Limbah,Woodworking,Blockboard,Woodworking,186.54
Jambi,HKM HD Kemitraan,Kayu Tanaman,Veneer,Blockboard,Veneer,18.27
Jawa Barat,IUPHHK HTI,Kayu Perkebunan,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,5.29
Jawa Tengah,HKM HD Kemitraan,Kayu Alam,Chipwood,Blockboard,Chipwood,14792.14
Jawa Timur,HKM HD HTR,Limbah,Veneer,Blockboard,Veneer,11260.3
Kalimantan Selatan,IUPHHK HA,Kayu Alam,Chipwood,Blockboard,Chipwood,2.28
Kalimantan Timur,IUPHHK HA,Kayu Alam,Paper,Blockboard,Paper,0.0
Riau,Hutan Lindung,Kayu Perkebunan,Kerajinan,Blockboard,Kerajinan,0.0
Bali,HKM HD HTR,Kayu Tanaman,Panel,Blockboard,Panel,141.46
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Perkebunan,Chipwood,Blockboard,Chipwood,0.0
Jambi,Hutan Produksi,Kayu Tanaman,Veneer,Blockboard,Veneer,81.13
Jawa Barat,IUPHHK RE,Limbah,Paper,Blockboard,Paper,340.33
Jawa Tengah,Hutan Lindung,Limbah,Woodworking,Blockboard,Woodworking,16440.86
Jawa Timur,HKM HD Kemitraan,Limbah,Woodworking,Blockboard,Woodworking,11967.84
Kalimantan Selatan,HKM HD Kemitraan,Limbah,Furnitur Kayu,Blockboard,Furnitur Kayu,2.68
Kalimantan Timur,UPHHK HTR,Kayu Alam,Chipwood,Blockboard,Chipwood,5.16
Riau,Hutan Produksi,Kayu Tanaman,Chipwood,Blockboard,Chipwood,0.0
Bali,HKM HD HTR,Kayu Perkebunan,Chipwood,Blockboard,Chipwood,90.02
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Perkebunan,Veneer,Blockboard,Veneer,118.68
Jambi,UPHHK HTR,Kayu Tanaman,Veneer,Blockboard,Veneer,108.21
Jawa Barat,HKM HD Kemitraan,Setengah Jadi,Pulp,Blockboard,Pulp,0.0
Jawa Tengah,IUPHHK HTI,Limbah,Woodworking,Blockboard,Woodworking,11737.54
Jawa Timur,HKM HD Kemitraan,Kayu Alam,Paper,Blockboard,Paper,9772.53
Kalimantan Selatan,UPHHK HTR,Kayu Perkebunan,Paper,Blockboard,Paper,0.0
Kalimantan Timur,IUPHHK HTI,Kayu Perkebunan,Panel,Blockboard,Panel,0.0
Riau,Hutan Produksi,Setengah Jadi,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,24.56
Bali,HKM HD Kemitraan,Kayu Perkebunan,Woodworking,Blockboard,Woodworking,68.59
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Tanaman,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,178.54
Jambi,IUPHHK HTI,Kayu Alam,Kerajinan,Blockboard,Kerajinan,0.0
Jawa Barat,IUPHHK HTI,Kayu Tanaman,Pulp,Blockboard,Pulp,171.46
Jawa Tengah,Hutan Produksi,Limbah,Paper,Blockboard,Paper,10732.93
Jawa Timur,IUPHHK RE,Kayu Alam,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,12463.31
Kalimantan Selatan,HKM HD Kemitraan,Kayu Perkebunan,Paper,Blockboard,Paper,0.0
Kalimantan Timur,IUPHHK RE,Kayu Tanaman,Chipwood,Blockboard,Chipwood,5.3
Riau,UPHHK HTR,Kayu Alam,Paper,Blockboard,Paper,0.0
Bali,IUPHHK HTI,Kayu Alam,Chipwood,Blockboard,Chipwood,34.29
Daerah Istimewa Yogyakarta,UPHHK HTR,Limbah,Chipwood,Blockboard,Chipwood,201.39
Jambi,Hutan Lindung,Kayu Perkebunan,Kerajinan,Blockboard,Kerajinan,44.52
Jawa Barat,Hutan Lindung,Limbah,Kerajinan,Blockboard,Kerajinan,223.0
Jawa Tengah,IUPHHK HA,Kayu Alam,Paper,Blockboard,Paper,9637.01
Jawa Timur,IUPHHK HA,Setengah Jadi,Furnitur Kayu,Blockboard,Furnitur Kayu,11565.42
Kalimantan Selatan,Hutan Lindung,Setengah Jadi,Panel,Blockboard,Panel,0.0
Kalimantan Timur,UPHHK HTR,Setengah Jadi,Kerajinan,Blockboard,Kerajinan,0.0
Riau,IUPHHK HA,Limbah,Paper,Blockboard,Paper,0.0
Bali,IUPHHK RE,Setengah Jadi,Veneer,Blockboard,Veneer,62.16
Daerah Istimewa Yogyakarta,UPHHK HTR,Setengah Jadi,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,524.74
Jambi,Hutan Produksi,Kayu Alam,Pulp,Blockboard,Pulp,0.0
Jawa Barat,UPHHK HTR,Kayu Alam,Bangunan Prefabrikasi,Blockboard,Bangunan Prefabrikasi,428.66
Jawa Tengah,IUPHHK HTI,Kayu Perkebunan,Panel,Blockboard,Panel,8599.7
Jawa Timur,HKM HD Kemitraan,Kayu Tanaman,Woodworking,Blockboard,Woodworking,10950.62
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Paper,Blockboard,Paper,101.81
Kalimantan Timur,Hutan Lindung,Kayu Tanaman,Woodworking,Blockboard,Woodworking,5.3
Riau,Hutan Lindung,Kayu Alam,Furnitur Kayu,Blockboard,Furnitur Kayu,0.0
Kalimantan Barat,HKM HD HTR,Limbah,Woodworking,Finger Joint Board,Woodworking,0.0
Kalimantan Barat,IUPHHK HA,Limbah,Pulp,Finger Joint Board,Pulp,0.0
Kalimantan Barat,IUPHHK RE,Limbah,Bangunan Prefabrikasi,Finger Joint Board,Bangunan Prefabrikasi,0.0
Kalimantan Barat,IUPHHK HA,Kayu Perkebunan,Kerajinan,Finger Joint Board,Kerajinan,0.0
Kalimantan Barat,HKM HD HTR,Limbah,Chipwood,Finger Joint Board,Chipwood,0.0
Kalimantan Barat,IUPHHK HA,Limbah,Veneer,Finger Joint Board,Veneer,0.0
Kalimantan Barat,IUPHHK RE,Kayu Tanaman,Woodworking,Finger Joint Board,Woodworking,0.0
Kalimantan Barat,IUPHHK RE,Kayu Perkebunan,Woodworking,Finger Joint Board,Woodworking,22.33
Kalimantan Barat,Hutan Lindung,Kayu Perkebunan,Kerajinan,Finger Joint Board,Kerajinan,0.0
Kalimantan Barat,UPHHK HTR,Kayu Alam,Bangunan Prefabrikasi,Finger Joint Board,Bangunan Prefabrikasi,0.0
Kalimantan Barat,UPHHK HTR,Limbah,Bangunan Prefabrikasi,Finger Joint Board,Bangunan Prefabrikasi,0.0
Kalimantan Barat,UPHHK HTR,Kayu Perkebunan,Kerajinan,Finger Joint Board,Kerajinan,0.0
Aceh,Hutan Lindung,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,698.59
Bali,UPHHK HTR,Kayu Tanaman,Panel,Kayu Gergajian,Panel,704.32
Banten,HKM HD Kemitraan,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,830.5
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Limbah,Chipwood,Kayu Gergajian,Chipwood,325.53
DKI Jakarta,HKM HD Kemitraan,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,67.53
Gorontalo,IUPHHK RE,Kayu Alam,Veneer,Kayu Gergajian,Veneer,0.0
Jambi,HKM HD Kemitraan,Kayu Tanaman,Panel,Kayu Gergajian,Panel,3841.98
Jawa Barat,UPHHK HTR,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,3130.24
Jawa Tengah,HKM HD HTR,Kayu Alam,Kerajinan,Kayu Gergajian,Kerajinan,46525.12
Jawa Timur,IUPHHK HTI,Kayu Tanaman,Paper,Kayu Gergajian,Paper,70377.65
Kalimantan Barat,IUPHHK RE,Kayu Alam,Kerajinan,Kayu Gergajian,Kerajinan,1029.31
Kalimantan Selatan,Hutan Produksi,Setengah Jadi,Pulp,Kayu Gergajian,Pulp,6391.25
Kalimantan Tengah,Hutan Produksi,Limbah,Panel,Kayu Gergajian,Panel,4447.44
Kalimantan Timur,Hutan Lindung,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,6273.39
Kalimantan Utara,IUPHHK RE,Setengah Jadi,Paper,Kayu Gergajian,Paper,959.61
Kepulauan Riau,Hutan Lindung,Kayu Tanaman,Panel,Kayu Gergajian,Panel,105.5
Lampung,IUPHHK RE,Kayu Alam,Veneer,Kayu Gergajian,Veneer,5635.12
Maluku,IUPHHK HTI,Setengah Jadi,Pulp,Kayu Gergajian,Pulp,595.55
Maluku Utara,IUPHHK HA,Kayu Alam,Paper,Kayu Gergajian,Paper,622.41
Papua,IUPHHK HA,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,11422.32
Papua Barat,IUPHHK RE,Kayu Tanaman,Panel,Kayu Gergajian,Panel,8585.66
Riau,IUPHHK HA,Kayu Tanaman,Panel,Kayu Gergajian,Panel,7745.2
Sulawesi Selatan,IUPHHK HTI,Limbah,Chipwood,Kayu Gergajian,Chipwood,292.51
Sulawesi Tengah,IUPHHK HA,Kayu Alam,Veneer,Kayu Gergajian,Veneer,1362.51
Sulawesi Tenggara,Hutan Produksi,Limbah,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,1159.91
Sulawesi Utara,Hutan Produksi,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,0.0
Sumatera Barat,IUPHHK HA,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,1902.57
Sumatera Selatan,UPHHK HTR,Kayu Tanaman,Chipwood,Kayu Gergajian,Chipwood,3366.12
Sumatera Utara,IUPHHK HA,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,20949.75
Aceh,IUPHHK HTI,Setengah Jadi,Panel,Kayu Gergajian,Panel,741.05
Bali,Hutan Produksi,Kayu Tanaman,Panel,Kayu Gergajian,Panel,184.53
Banten,Hutan Produksi,Kayu Tanaman,Pulp,Kayu Gergajian,Pulp,702.83
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,279.79
DKI Jakarta,Hutan Lindung,Limbah,Paper,Kayu Gergajian,Paper,5.23
Gorontalo,Hutan Lindung,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,0.0
Jambi,UPHHK HTR,Setengah Jadi,Veneer,Kayu Gergajian,Veneer,3985.23
Jawa Barat,IUPHHK HTI,Kayu Alam,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,2845.71
Jawa Tengah,UPHHK HTR,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,41428.45
Jawa Timur,IUPHHK HA,Kayu Tanaman,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,61143.41
Kalimantan Barat,IUPHHK HA,Kayu Perkebunan,Kerajinan,Kayu Gergajian,Kerajinan,841.57
Kalimantan Selatan,HKM HD HTR,Kayu Tanaman,Veneer,Kayu Gergajian,Veneer,9160.98
Kalimantan Tengah,HKM HD HTR,Kayu Tanaman,Woodworking,Kayu Gergajian,Woodworking,8272.5
Kalimantan Timur,Hutan Lindung,Kayu Perkebunan,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,6429.21
Kalimantan Utara,IUPHHK HTI,Setengah Jadi,Chipwood,Kayu Gergajian,Chipwood,971.51
Kepulauan Riau,Hutan Produksi,Setengah Jadi,Woodworking,Kayu Gergajian,Woodworking,267.06
Lampung,Hutan Produksi,Kayu Perkebunan,Paper,Kayu Gergajian,Paper,6216.34
Maluku,IUPHHK RE,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,546.32
Maluku Utara,HKM HD Kemitraan,Limbah,Pulp,Kayu Gergajian,Pulp,165.51
Papua,IUPHHK HTI,Kayu Tanaman,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,11565.33
Papua Barat,IUPHHK HA,Limbah,Woodworking,Kayu Gergajian,Woodworking,8093.01
Riau,HKM HD HTR,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,7466.17
Sulawesi Selatan,IUPHHK RE,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,221.0
Sulawesi Tengah,HKM HD Kemitraan,Kayu Tanaman,Paper,Kayu Gergajian,Paper,1794.12
Sulawesi Tenggara,UPHHK HTR,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,1521.4
Sulawesi Utara,Hutan Lindung,Kayu Alam,Veneer,Kayu Gergajian,Veneer,0.0
Sumatera Barat,IUPHHK RE,Limbah,Woodworking,Kayu Gergajian,Woodworking,1376.24
Sumatera Selatan,HKM HD Kemitraan,Kayu Alam,Chipwood,Kayu Gergajian,Chipwood,2963.74
Sumatera Utara,HKM HD Kemitraan,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,20379.32
Aceh,Hutan Lindung,Kayu Perkebunan,Chipwood,Kayu Gergajian,Chipwood,713.33
Bali,HKM HD Kemitraan,Kayu Alam,Kerajinan,Kayu Gergajian,Kerajinan,930.7
Banten,IUPHHK HA,Kayu Tanaman,Panel,Kayu Gergajian,Panel,1260.37
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Alam,Woodworking,Kayu Gergajian,Woodworking,308.3
DKI Jakarta,HKM HD Kemitraan,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,11.87
Gorontalo,HKM HD Kemitraan,Kayu Alam,Paper,Kayu Gergajian,Paper,0.0
Jambi,HKM HD HTR,Kayu Alam,Veneer,Kayu Gergajian,Veneer,5315.73
Jawa Barat,IUPHHK HTI,Kayu Tanaman,Paper,Kayu Gergajian,Paper,2096.07
Jawa Tengah,IUPHHK HA,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,47640.13
Jawa Timur,IUPHHK RE,Setengah Jadi,Pulp,Kayu Gergajian,Pulp,70163.56
Kalimantan Barat,Hutan Produksi,Kayu Perkebunan,Pulp,Kayu Gergajian,Pulp,1200.17
Kalimantan Selatan,IUPHHK RE,Setengah Jadi,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,6416.11
Kalimantan Tengah,Hutan Lindung,Limbah,Kerajinan,Kayu Gergajian,Kerajinan,6161.29
Kalimantan Timur,HKM HD HTR,Kayu Perkebunan,Furnitur Kayu,Kayu Gergajian,Furnitur Kayu,5902.84
Kalimantan Utara,HKM HD HTR,Kayu Alam,Bangunan Prefabrikasi,Kayu Gergajian,Bangunan Prefabrikasi,573.96
